Search query: (machine learning) OR (artificial intelligence) OR (unsupervised learning) OR (supervised learning) OR (neural networks)
Year,Count
2025,27765
2024,82230
2023,65333
2022,60756
2021,50128
2020,37681
2019,28592
2018,21959
2017,17440
2016,14784
2015,14203
2014,13605
2013,12750
2012,10898
2011,10192
2010,8916
2009,8633
2008,8492
2007,7892
2006,7231
2005,6354
2004,5151
2003,3894
2002,3358
2001,3179
2000,2824
1999,2779
1998,2656
1997,2411
1996,2145
1995,2058
1994,1722
1993,1556
1992,1290
1991,1236
1990,1021
1989,793
1988,548
1987,516
1986,503
1985,345
1984,293
1983,243
1982,235
1981,184
1980,191
1979,181
1978,160
1977,132
1976,162
1975,184
1974,239
1973,150
1972,111
1971,123
1970,99
1969,74
1968,99
1967,55
1966,57
1965,56
1964,49
1963,26
1962,23
1961,28
1960,11
1959,15
1958,16
1957,8
1956,13
1955,13
1954,6
1953,6
1952,14
1951,15
