Study,D1: Patient Selection,D2: Index Test,D3: Reference Standard,D4: Flow and Timing,D5: Data Robustness,D6: Interpretability
[32],Some Concerns,Some Concerns,Low,Low,Low,Some Concerns
[30],Some Concerns,Some Concerns,Low,Some Concerns,Some Concerns,High
[33],Some Concerns,Some Concerns,Low,Some Concerns,Some Concerns,Some Concerns
[34],Some Concerns,Some Concerns,Some Concerns,Some Concerns,Some Concerns,Some Concerns
[35],Low,Some Concerns,Low,Low,Low,Some Concerns
[36],Some Concerns,Some Concerns,Low,Some Concerns,Some Concerns,High
[31],High,Some Concerns,Low,Some Concerns,Some Concerns,No Information
[37],Some Concerns,Some Concerns,Low,Some Concerns,Some Concerns,Low
[39],Some Concerns,Low,Some Concerns,Low,Low,Some Concerns
[40],Low,Low,Low,Low,Low,Low
[38],Some Concerns,Some Concerns,Low,Some Concerns,Some Concerns,No Information
[41],Some Concerns,Some Concerns,Some Concerns,Some Concerns,Some Concerns,No Information
[16],Some Concerns,Low,Low,Low,Low,Some Concerns
